# Time (seconds),Pressure (normalized),Temp (normalized),Temperature (slope)
0.0078125,0.7285759335472477,0.2391668701171875,0.0
0.0234375,0.7287666684105283,0.23852630615234388,0.0
0.0390625,0.7287564958844867,0.2391522216796875,0.0
0.0546875,0.7286940075102306,0.23961395263671875,0.0
0.0703125,0.7289079938616071,0.238973388671875,0.0
0.0859375,0.7286911010742188,0.238973388671875,0.0
0.1015625,0.7287782941545758,0.239122314453125,0.0
0.1171875,0.7288643973214286,0.23979278564453124,0.0
0.1328125,0.7287190755208334,0.23986755371093765,0.14013671875002842
0.1484375,0.728745596749442,0.23946533203125,0.18780517578122158
0.1640625,0.7287535894484747,0.239822998046875,0.1341552734375
0.1796875,0.7288138979957217,0.23995697021484375,0.068603515625
0.1953125,0.72874741327195,0.23973358154296875,0.15203857421875
0.2109375,0.7288415091378349,0.23930114746093764,0.06555175781252842
0.2265625,0.728805178687686,0.23943511962890626,0.06256103515625
0.2421875,0.7287386939639143,0.23936096191406236,-0.08636474609377842
0.2578125,0.7287957327706474,0.23946533203125,-0.08044433593752842
0.2734375,0.7287608555385044,0.23943511962890626,-0.00604248046875
0.2890625,0.7287314278738832,0.2393310546875,-0.098388671875
0.3046875,0.7288055419921882,0.239822998046875,-0.02679443359375
0.3203125,0.7287772042410714,0.23946533203125,-0.05364990234375
0.3359375,0.7287317911783854,0.239822998046875,0.10437011718747158
0.3515625,0.7287452334449405,0.23974822998046874,0.0626220703125
0.3671875,0.7287982759021571,0.24031463623046875,0.19073486328127842
0.3828125,0.7288832891555059,0.2402252197265625,0.1519775390625
0.3984375,0.7287623087565104,0.24043395996093764,0.19976806640627842
0.4140625,0.7288927350725454,0.23918212890625,-0.02978515625
0.4296875,0.7287633986700142,0.24032928466796874,0.10125732421875
0.4453125,0.7288218906947544,0.239822998046875,0.071533203125
0.4609375,0.7287052699497761,0.239822998046875,0.0
0.4765625,0.7288138979957217,0.2401806640625,0.08648681640625
0.4921875,0.728805178687686,0.2401504516601561,-0.03283691406252842
0.5078125,0.7288593110584071,0.24012084960937485,-0.02087402343752842
0.5234375,0.7287099929082961,0.2400164794921875,-0.08349609375002842
0.5390625,0.728708176385788,0.2401504516601561,0.19366455078122158
0.5546875,0.7288803827194941,0.2401504516601561,-0.03576660156252842
0.5703125,0.7287208920433408,0.24003143310546876,0.04168701171875
