spi_time,die_temp_filtered,dqCommand_combined,outputSpeed_rpm
0.0,0.0,1.0,0.0002234636871508
10.0,0.2790055248618784,0.6511986089080812,0.6715083798882682
20.0,0.303867403314917,0.6518690640714211,0.6710614525139665
30.0,0.303867403314917,0.6512743517306507,0.6706145251396648
40.0,0.3176795580110497,0.651333403377984,0.671731843575419
50.0,0.3121546961325966,0.6512743517306507,0.6699441340782123
60.0,0.3232044198895026,0.6507091407004382,0.6688268156424582
70.0,0.3232044198895026,0.6520980450043541,0.6706145251396648
80.0,0.3176795580110497,0.6507966171467798,0.6699441340782123
90.0,0.3232044198895026,0.651384674938344,0.6719553072625699
100.0,0.3314917127071822,0.6502142485251288,0.6694972067039107
110.0,0.3232044198895026,0.651384674938344,0.671731843575419
120.0,0.3314917127071822,0.6519219639879319,0.6715083798882682
130.0,0.3370165745856354,0.6511986089080812,0.6699441340782123
140.0,0.3232044198895026,0.6513158250301387,0.6710614525139665
150.0,0.3314917127071822,0.6507966171467798,0.669050279329609
160.0,0.3314917127071822,0.6520980450043541,0.671731843575419
170.0,0.3232044198895026,0.651164339385,0.6712849162011174
180.0,0.3314917127071822,0.6512352796899648,0.669050279329609
190.0,0.3314917127071822,0.6518465178441251,0.670391061452514
200.0,0.3314917127071822,0.650746584384973,0.669050279329609
210.0,0.3314917127071822,0.6512743517306507,0.6701675977653632
220.0,0.3314917127071822,0.6507966171467798,0.6692737430167598
230.0,0.3370165745856354,0.6507966171467798,0.6699441340782123
240.0,0.3370165745856354,0.652576810471408,0.6726256983240224
250.0,0.3370165745856354,0.6518465178441251,0.6710614525139665
260.0,0.3370165745856354,0.6512743517306507,0.670391061452514
270.0,0.3370165745856354,0.6518185654137124,0.6706145251396648
280.0,0.3370165745856354,0.651770468014806,0.6708379888268157
290.0,0.3425414364640883,0.6524605501496774,0.6719553072625699
300.0,0.3370165745856354,0.650746584384973,0.6710614525139665
310.0,0.3370165745856354,0.651770468014806,0.6706145251396648
320.0,0.3425414364640883,0.6518690640714211,0.6701675977653632
330.0,0.3425414364640883,0.6518185654137124,0.6715083798882682
340.0,0.3425414364640883,0.6507091407004382,0.6697206703910615
350.0,0.3425414364640883,0.6519219639879319,0.6706145251396648
360.0,0.3425414364640883,0.6512743517306507,0.6697206703910615
370.0,0.3425414364640883,0.651333403377984,0.6692737430167598
380.0,0.3425414364640883,0.6519219639879319,0.6719553072625699
390.0,0.3425414364640883,0.6516814769933998,0.6699441340782123
400.0,0.3425414364640883,0.651384674938344,0.6715083798882682
410.0,0.3508287292817679,0.6519219639879319,0.6706145251396648
420.0,0.3425414364640883,0.651384674938344,0.6712849162011174
